Distance_m,Value_1,Value_2,Value_3,Value_4
24.82,-169.0,275.0,-121.0,364.0
25.27,-298.0,23.0,-45.0,81.0
25.01,-142.0,-81.0,43.0,227.0
24.94,161.0,136.0,-226.0,61.0
25.19,-169.0,192.0,-209.0,-238.0
25.11,255.0,-71.0,308.0,13.0
24.66,193.0,68.0,-147.0,-71.0
24.98,-28.0,-146.0,165.0,-14.0
25.32,307.0,133.0,-81.0,-270.0
25.05,-133.0,-9.0,65.0,113.0
25.38,356.0,369.0,186.0,259.0
24.52,-187.0,-149.0,-160.0,-191.0
25.1,-32.0,-138.0,-337.0,86.0
24.81,-113.0,-129.0,-90.0,247.0
24.88,-207.0,-367.0,-146.0,57.0
25.08,88.0,47.0,-38.0,44.0
25.04,-181.0,208.0,405.0,-129.0
24.84,26.0,-120.0,43.0,338.0
25.22,-66.0,317.0,221.0,41.0
25.11,271.0,-213.0,-71.0,-124.0
24.83,65.0,-186.0,472.0,36.0
24.93,137.0,-15.0,57.0,23.0
25.16,-37.0,-323.0,-171.0,248.0
25.13,-215.0,-57.0,10.0,-300.0
25.0,37.0,54.0,21.0,66.0
24.95,-171.0,-120.0,272.0,-153.0
24.84,-182.0,-106.0,157.0,-39.0
25.05,123.0,-28.0,-59.0,28.0
25.06,113.0,-129.0,2.0,-93.0
25.31,204.0,-59.0,-28.0,180.0
25.31,-216.0,-68.0,-124.0,112.0
25.76,380.0,-33.0,-70.0,-226.0
25.86,190.0,101.0,-150.0,149.0
26.23,-16.0,-396.0,111.0,-95.0
26.76,44.0,-25.0,140.0,-165.0
27.57,-187.0,303.0,241.0,-150.0
28.23,300.0,150.0,-97.0,175.0
29.43,307.0,166.0,-110.0,-1.0
30.78,223.0,472.0,-317.0,2.0
32.61,120.0,-223.0,99.0,-193.0
34.33,92.0,27.0,-355.0,215.0
36.98,-118.0,-66.0,12.0,174.0
39.77,29.0,247.0,54.0,4.0
42.68,183.0,-673.0,-134.0,-165.0
46.07,-274.0,-97.0,176.0,295.0
50.14,365.0,-46.0,73.0,-80.0
54.0,204.0,134.0,66.0,54.0
58.07,190.0,-218.0,-69.0,-225.0
62.67,432.0,-67.0,183.0,-446.0
66.81,-15.0,-120.0,443.0,-337.0
69.96,390.0,-364.0,183.0,-155.0
73.61,392.0,-452.0,562.0,-194.0
75.81,56.0,-119.0,16.0,141.0
78.14,168.0,-505.0,-71.0,-186.0
79.66,365.0,-356.0,92.0,-314.0
80.0,284.0,-59.0,281.0,-66.0
79.49,308.0,-81.0,196.0,-159.0
78.5,-118.0,-126.0,227.0,136.0
76.34,529.0,-157.0,439.0,-443.0
73.63,378.0,127.0,-40.0,-109.0
70.37,194.0,-179.0,91.0,-2.0
66.47,-26.0,-199.0,-132.0,156.0
62.75,343.0,-429.0,274.0,-122.0
58.16,370.0,-614.0,190.0,698.0
54.15,286.0,-244.0,173.0,194.0
50.32,-426.0,82.0,171.0,-285.0
46.23,285.0,-94.0,124.0,-153.0
42.91,146.0,-92.0,16.0,335.0
39.75,234.0,-353.0,-112.0,-169.0
36.75,-87.0,-3.0,-228.0,30.0
34.84,-499.0,189.0,-120.0,391.0
32.61,-31.0,312.0,307.0,188.0
30.8,351.0,-415.0,-59.0,-178.0
29.4,-117.0,-238.0,191.0,1.0
28.41,-217.0,113.0,60.0,-196.0
27.24,234.0,-407.0,192.0,223.0
26.64,41.0,76.0,248.0,-243.0
26.18,214.0,79.0,-255.0,231.0
25.54,247.0,-146.0,149.0,-318.0
25.68,184.0,-224.0,145.0,-209.0
25.54,7.0,111.0,-442.0,-132.0
25.14,14.0,324.0,96.0,-234.0
25.26,-432.0,-26.0,175.0,-157.0
24.82,101.0,11.0,155.0,100.0
25.45,168.0,-57.0,314.0,3.0
24.83,215.0,428.0,9.0,56.0
24.81,-22.0,-134.0,-337.0,-126.0
24.88,95.0,-184.0,274.0,113.0
25.2,-199.0,75.0,172.0,-363.0
24.86,84.0,-298.0,225.0,70.0
25.02,-99.0,-214.0,497.0,145.0
25.1,-384.0,-50.0,55.0,-290.0
24.91,-88.0,6.0,-10.0,-114.0
25.23,-96.0,304.0,42.0,85.0
24.9,-103.0,-51.0,117.0,-52.0
25.0,-51.0,-103.0,32.0,65.0
25.14,4.0,-245.0,-102.0,286.0
24.96,-164.0,-157.0,66.0,-7.0
25.05,-180.0,31.0,20.0,-73.0
24.84,48.0,-183.0,145.0,-185.0
25.0,-69.0,125.0,-208.0,-467.0
